year,yearEnd,exactDate,titel,titelEN,text,textEN,extra,extraEN,link,category
1795,,15.10.1795,Geburt in Berlin,Born in Berlin,Friedrich Wilhelm kommt als ältester Sohn des späteren Königs Friedrich Wilhelm III. von Preußen und seiner Frau Luise von Mecklenburg-Strelitz in Berlin auf die Welt,"Frederick William is born in Berlin, being the eldest son of the future King Frederick William III of Prussia and his wife, Louise of Mecklenburg-Strelitz","Sein zwei Jahre jüngerer Bruder folgte ihm zunächst auf den Thron als König von Preußen, ab 1871 wurde dieser als Wilhelm I. der erste Deutsche Kaiser","His younger brother William Frederick Louis succeeded him on the Prussian throne and later was crowned William I, the first German Emperor, in 1871",https://de.wikipedia.org/wiki/Friedrich_Wilhelm_III._(Preu%C3%9Fen),Lebensdaten - Persönliches - Prägendes
1801,1809,,Erziehung,Education,Erziehung des Kronprinzen durch den Theologen und Pädagogen Friedrich Delbrück,"The Crown Prince is educated by the theologian and educationalist, Friedrich Delbrück","Friedrich Wilhelm besaß ein ausgeprägtes Gespür für die Wiedergabe künstlerischer Gedanken im Medium der Zeichnung. Dieses Talent wurde früh von seinem Erzieher Friedrich Delbrück (1768–1830) gefördert und im Laufe der Zeit von einigen professionellen Lehrern, wie etwa dem Architekten Karl Ludwig Krüger und dem Maler Johann Heusinger, weiter ausgebildet. ","Frederick William had a keen interest in artistic expression, particularly through drawing. This talent was encouraged at an early age by his tutor Friedrich Delbrück (1768-1830) and was further to be developed by professional teachers including the architect Karl Ludwig Krüger and the painter Johann Heusinger.",https://de.wikipedia.org/wiki/Friedrich_Delbr%C3%BCck,Lebensdaten - Persönliches - Prägendes
1805,,15.10.1805,Leutnant der Garde,Lieutenant of the Guard,Ernennung des zehnjährigen Kronprinzen zum Leutnant der Garde,The ten year old Crown Prince is appointed as lieutenant of the guard,,,,Politisches - Militärisches - Revolutionäres
1806,,14.10.1806,Niederlage gegen Napoleon,Napoleon defeats the Prussians,Niederlage der preußischen Armee gegen die französischen Truppen Napoleons in der Schlacht bei Jena und Auerstedt,The Prussian army is defeated by Napoleon's troops in the battle of Jena-Auerstedt,Nach der schweren Niederlage in der Schlacht bei Jena und Auerstedt bricht die preußische Armee auseinander. Am 27 Oktober 1806 zieht Napoleon in Berlin ein. Eine zweijährige Besatzungszeit schließt sich an.,"After a heavy defeat in the Battle of Jena-Auerstedt, the Prussian army disperses. On October 27, 1806, Napoleon rode in triumph into Berlin. The French occupation of Berlin lasted for two years. ",https://de.wikipedia.org/wiki/Schlacht_bei_Jena_und_Auerstedt,Politisches - Militärisches - Revolutionäres
1806,,,Flucht nach Ostpreußen,Escape to East Prussia,Nach Napoleons Sieg flieht die königliche Familie nach Ostpreußen,"Following Napoleon's victory, the royal family flees to East Prussia","Die Königsfamilie hatte sich in der Nähe des Kriegsschauplatzes aufgehalten, im Chaos des Zusammenbruchs mussten sie sich auf getrennten Wegen retten. Königin Luise, die Mutter Friedrich Wilhelms, gelangte mit den Kindern über mehrere Zwischenstationen nach Königsberg. Dort erkrankte sie schwer am „Nervenfieber“, wie man damals den Typhus nannte.","The members of the royal family had resided close to the battlefield and were then forced to flee separately. Queen Louise, the mother of Frederick William, arrived in Konigsberg with the children, after several stops on the way. There she fell ill with ""nervous fever"", as typhus was then called.",,Lebensdaten - Persönliches - Prägendes
1808,,,Abzug der Franzosen,French army withdraws,Napoleons Armee wird im Dezember 1808 aus Berlin abgezogen,Napoleon's Grande Armée withdraws from Berlin in December 1808,"Wegen des Aufstands des spanischen Volkes gegen die napoleonische Herrschaft 1808, die Aufrüstung Österreichs und die Lösung der Reparationsfrage zog Kaiser Napoleon seine Soldaten großteils aus Preußen zurück. ","Due to the uprising of the Spanish people against Napoleonic rule in 1808, the rearmament of Austria, and because the matter of reparations came to an agreement, Napoleon withdrew the greater part of his soldiers from Prussia.",,Politisches - Militärisches - Revolutionäres
1809,,23.12.1809,Rückkehr nach Berlin,Return to Berlin,"Nach dem Abzug der Franzosen kehrte die königliche Familie ein Jahr später, am 23. Dezember 1809, nach Berlin zurück ","The royal family returns to Berlin on 23 December 1809, one year after the Grande Armée had withdrawn from Berlin ","Der von der Stadtobrigkeit organisierte Empfang durch die Berliner war überwältigend herzlich, sowohl bei der Ankunft am Schloss, als auch während einer abendlichen Spazierfahrt durch die festlich illuminierte Stadt. Eine Vielzahl von Empfängen und Festessen, von Theater- und Opernaufführungen schloss sich an.","Organized by the city authorities, the welcome by the Berlin public was overwhelmingly friendly, both during the arrival at the city palace and during an evening ride through the festively illuminated city. A variety of receptions, banquets, theatre and opera performances followed.",,Lebensdaten - Persönliches - Prägendes
1810,,,Erziehung,Education,Unterricht durch Jean Pierre Frédéric Ancillon,The Crown Prince is taught by Jean Pierre Frédéric Ancillon,"Ancillon (1767–1837), der Erzieher und Mentor des Kronprinzen, beobachtete die Tendenz seines Schützlings zum bildhaften Denken und Handeln. „Ich sehe Sie schon die ganze Zeit mit der Bleifeder in der Hand zubringen. Für einen künftigen Schinkel wäre dies eine sehr nützliche Anwendung, allein da der Staat nicht in einem gothischen Tempel bestehet und noch nie ein Volk vermittelst romantischer Bilder regiert worden ist, so wird dieses ewige Zeichnen für Sie eine wahre Verschwendung der edlen Zeit.“ Ancillon war dennoch durchaus der Auffassung verpflichtet, dass „ein König auch ein großer Künstler seyn soll“, nämlich derjenige, der den Staat mit seinen Vorstellungen und Inspirationen prägt, ihn gestaltet, gliedert und verbessert zum Wohle seines Volkes. Der Regent hatte folglich die Aufgabe, eine Vision für das Gemeinwesen zu entwerfen, ganz wesensgleich dem Künstler, der einem Gedanken bildnerische Form verleiht.","Ancillon (1767-1837), the teacher and mentor of the Crown Prince, observed his protégé's talent for visual thinking. ""I see you the whole time with a dip pen in your hand. For a future Schinkel this would be a very useful practice, except that the state does not resemble a Gothic temple and never has a nation been ruled by romantic images - so in your case, this constant drawing is a true waste of precious time."" Ancillon was nonetheless committed to the belief that ""a king should also be a great artist"", that is to say, one who shapes the state by his ideas and inspiration, shapes it, structures it, and improves it for the benefit of his people. The Regent's task of designing a vision for society had certain similarities with that of the artist who imparts a visual form to thought.",https://de.wikipedia.org/wiki/Jean_Pierre_Fr%C3%A9d%C3%A9ric_Ancillon,Lebensdaten - Persönliches - Prägendes
1810,,19.07.1810,Tod der Mutter,Death of his mother,Tod seiner Mutter Königin Luise,His mother Queen Luise dies,"Während einer Sommerreise zur gesundheitlichen Erholung nach Schloss Hohenzieritz erkrankte Königin Luise an einer Lungenentzündung und verstarb am 19.07.1810. Bei der Obduktion ergab sich, dass ein Lungenflügel zerstört war, auch fand man eine Geschwulst im Herzen. 1810–1812 wurde im Charlottenburger Schlosspark ein Mausoleum für Königin Luise von Preußen errichtet.","During a summer trip to the palace of Hohenzieritz in order to restore her health, Queen Louise fell ill with pneumonia and died on 19 July 1810. The autopsy showed that a lung was destroyed, and a tumour was found in the heart. In 1810-1812, a mausoleum was erected in the park of Charlottenburg palace for Queen Luise of Prussia.",https://de.wikipedia.org/wiki/Luise_von_Mecklenburg-Strelitz,Lebensdaten - Persönliches - Prägendes
1813,1815,,Befreiungskriege,German Campaign of 1813,"Feiheitskriege oder ""Befreiungskriege"" gegen die Fremdherrschaft Napoleons","Wars of Liberation against the French Emperor Napoleon, which freed the German states from the domination of the First French Empire","Friedrich Wilhelm nimmt im Ersten Garderegiment an der Völkerschlacht bei Leipzig und in Frankreich teil. Er nimmt Bücher in den ""Kreuzzug"" gegen Napoelon mit: Friedrich de la Motte Fouqués ""Zauberring"" und ""1000 & 1 Nacht"". Das Lesematerial hält bis zum Waffenstillstand. Als Friedrich Wilhelm erneut ins Feld geht, nimmt er Fouqués ""Sintram und seine Gefährten"" sowie von Jacques de Cazotte die ""Suite des milles et une nuits"" mit. In seinem Feldzugtagebuch schreibt der Kronprinz, dass er Berlin „in einer frommen romantischen Stimmung“ verließ: „Mir war zu Muthe, als zöge ich in einen Kreuzzug [...]; noch tönen mir begeisternd die Klänge der Armide nach, und meine romantische Stimmung ward durch die Lesung des Zauberrings von La Motte Fouqué vermehrt.""","Frederick William fights in the Battle of Leipzig. Joining the ""crusade"" against Napoleon, the Crown Prince takes with him several books: Friedrich de la Motte Fouqué's ""Zauberring"" and ""The Thousand and One Nights"". The reading material lasts him until the ceasefire. When Frederick William returns to the battlefield, he takes along Fouqué's ""Sintram and his companions"" and ""Suite des milles et une nuits"" by Jacques de Cazotte. In his war diary the Crown Prince writes that he was ""in a pious, romantic mood"" as he left Berlin: ""I felt as if I was about to enter a crusade [...] the inspiring sounds of Armide still echoed enthusingly, and my romantic mood was multiplied by reading ""The Magic Ring"" of La Motte Fouqué.""",https://de.wikipedia.org/wiki/Befreiungskriege,Politisches - Militärisches - Revolutionäres
